Date,AAPL,CAT,GOOG
2000-12-01,,,
2000-12-04,-0.022225266093471526,0.06252024072163159,
2000-12-05,0.018551959517941603,0.0014418839720062148,
2000-12-06,-0.17207975683944693,-0.042684580173151423,
2000-12-07,0.0,0.0,
2000-12-08,0.05107528196774219,0.0015021499407083334,
2000-12-11,0.008264201530368097,0.017857611751108685,
2000-12-12,0.012272872100785946,0.0,
2000-12-13,-0.02469486272436144,-0.01635691817021311,
2000-12-14,-0.03821825970044228,-0.024280388042090394,
2000-12-15,-0.026319620412526192,0.003067159551165281,
2000-12-18,0.013243901843810003,0.03609413209611044,
2000-12-19,-0.017697941890405158,0.01320635069437949,
2000-12-20,0.026431639104875566,0.004364027574194349,
2000-12-21,-0.02197759905828045,0.03843857289640635,
2000-12-22,0.0645378801129686,0.041045560787846345,
2000-12-26,-0.02105174489386451,0.02384238588193306,
2000-12-27,0.00847422916525356,-0.005249422147125092,
2000-12-28,0.0,0.002628329969420268,
2000-12-29,0.004209975800277085,-0.006583507318439454,
2001-01-02,0.0,-0.021362614499468083,
2001-01-03,0.09607495534043545,0.004040692636436387,
2001-01-04,0.04112815512834044,0.04596990110291834,
2001-01-05,-0.0411281551283405,-0.059502691055936224,
2001-01-08,0.011384816025660053,-0.002728514257583011,
2001-01-09,0.03704178090957893,-0.0013669086213964749,
2001-01-10,-0.037041780909578985,-0.013773802503810273,
2001-01-11,0.08323159925917709,0.008287406653113533,
2001-01-12,-0.04618981834959796,-0.03927592823469194,
2001-01-16,-0.003642676325209272,0.022631710826643777,
2001-01-17,-0.01841882662800715,0.006968738993422859,
2001-01-18,0.1057317451926547,-0.06737863832748249,
2001-01-19,0.042560109832600425,-0.027316053086337385,
2001-01-22,-0.012902711663347983,0.006135384079467281,
2001-01-23,0.06291262028920848,0.01818173498243745,
2001-01-24,0.0,0.013423142809282036,
2001-01-25,-0.027820525392878635,0.02631739152283882,
2001-01-26,-0.01898975029241359,-0.0014439464644961904,
2001-01-29,0.1031234057616333,-0.003474307971619274,
2001-01-30,0.002877363072739302,0.029716731216030988,
2001-01-31,-0.0057634799099589955,-0.004062630550255309,
2001-02-01,-0.023393706743552133,0.002484559521185739,
2001-02-02,-0.02395193479967835,-0.0013544151305694486,
2001-02-05,-0.02144154891083866,-0.011358957277375124,
2001-02-06,0.04539348371051701,-0.005727740331989922,
2001-02-07,-0.017909952800866644,0.0020657104600481087,
2001-02-08,0.0,-0.009908710201144942,
2001-02-09,-0.08154999588839523,-0.004177349442907613,
2001-02-12,0.028988250254101282,0.0030183545391114838,
2001-02-13,-0.028988250254101205,0.0030100334332819846,
2001-02-14,0.019416733567831992,-0.007890783007721967,
2001-02-15,0.028439061880376475,0.027575393874565358,
2001-02-16,-0.05441293853355131,-0.01025196445154369,
2001-02-20,-0.0368560082755548,-0.04376492865155416,
2001-02-21,0.030255791637716977,-0.02030055825039213,
2001-02-22,-0.0033163611935731127,-0.006613644072033175,
2001-02-23,0.0,-0.014855090961431516,
2001-02-26,0.03589045448458572,0.03769375090609551,
2001-02-27,-0.006430948366869455,0.020447300363815174,
2001-02-28,-0.05981734455023268,-0.021167844948298358,
2001-03-01,0.02702690808694032,0.009569281226039304,
2001-03-02,0.026318673166813633,0.016060912962827592,
2001-03-05,0.05679671758082408,0.03793124896117775,
2001-03-06,0.05374629764559114,0.0040521993564915796,
2001-03-07,-0.01169805014803419,0.05016966607166956,
2001-03-08,-0.0208018220585695,0.02093274847977441,
2001-03-09,-0.027399770200728108,-0.0200785688740587,
2001-03-12,-0.08365057577996256,-0.04096438924077164,
2001-03-13,0.049109547564795505,0.023954509481764964,
2001-03-14,0.043757190590972876,-0.027742765350082764,
2001-03-15,-0.03738530684527185,0.004677524152238353,
2001-03-16,-0.003182157866571678,-0.008928839979405495,
2001-03-19,0.04666699597716087,0.012035175699309966,
2001-03-20,-0.04348483811058912,-0.02853781900370797,
2001-03-21,0.021977604655919705,-0.03928516037783795,
2001-03-22,0.07188780052279299,-0.019390110027903657,
2001-03-23,0.061643011015280115,0.0096227027002227,
2001-03-26,-0.05450045868355078,0.027625635371756687,
2001-03-27,0.04883308360757371,0.04240414505694723,
2001-03-28,-0.0310859374701593,0.015504236341052833,
2001-03-29,0.016106307329327756,-0.01953037288996216,
2001-03-30,-0.020627658848747857,-0.005393026878384359,
2001-04-02,-0.02198794016489561,0.001350985863894387,
2001-04-03,-0.06456872192266028,-0.05266826257535929,
2001-04-04,-0.037248606727149663,0.03243781919010186,
2001-04-05,0.06790000034155988,0.049937159745885626,
2001-04-06,-0.013507378167070361,-0.02723459003228024,
2001-04-09,-0.002431277688868221,0.009605823144101373,
2001-04-10,0.07048289505340287,0.015879852703463294,
2001-04-11,-0.010947482247968397,-0.012329018331990365,
2001-04-12,0.02804291085220115,0.04059112347920535,
2001-04-16,-0.04469549989248023,-0.005546168372150419,
2001-04-17,-0.04972217048841295,-0.021622660122278526,
2001-04-18,0.11078523493169329,0.057340778596240725,
2001-04-19,0.1209484035587359,-0.008977658331168677,
2001-04-20,-0.02679456788765055,0.004186207473005836,
2001-04-23,-0.032057315261639026,0.007697466820829162,
2001-04-24,-0.00911470273238178,0.00103592128194737,
2001-04-25,0.028310634606090488,0.03459173494027829,
2001-04-26,-0.0012145625114033016,-0.01308550809211488,
2001-04-27,0.05936015921072503,0.019265612014636717,
2001-04-30,-0.02747174219538764,-0.002188337456135442,
2001-05-01,0.01711415171261916,0.011487473002395237,
2001-05-02,0.025132846407453967,-0.00949712627608676,
